Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Answer_Speed_Segundos,Talk_Duration_Segundos,Waiting_Time_Segundos,Answer_Rate_Decimal,Service_Level_Decimal
253,190,178,93.68%,12,0:00:32,0:02:27,0:02:45,55.08%,32,147,165,0.9368000000000001,0.5508
254,238,231,97.06%,7,0:00:20,0:02:27,0:02:03,79.66%,20,147,123,0.9706,0.7966
255,214,205,95.79%,9,0:00:20,0:02:34,0:02:34,79.05%,20,154,154,0.9579000000000001,0.7905
256,186,176,94.62%,10,0:00:23,0:02:15,0:05:03,70.88%,23,135,303,0.9462,0.7088
257,21,20,95.24%,1,0:00:14,0:02:25,0:00:54,85.00%,14,145,54,0.9523999999999999,0.85
258,169,157,92.90%,12,0:00:21,0:02:29,0:04:30,77.71%,21,149,270,0.929,0.7770999999999999
259,149,141,94.63%,8,0:00:16,0:02:38,0:02:37,79.05%,16,158,157,0.9462999999999999,0.7905
260,171,164,95.91%,7,0:00:19,0:02:22,0:03:49,77.19%,19,142,229,0.9591,0.7719
261,127,122,96.06%,5,0:00:13,0:02:22,0:01:25,87.80%,13,142,85,0.9606,0.878
262,21,21,100.00%,0,0:00:08,0:03:03,0:00:58,90.48%,8,183,58,1.0,0.9048
263,5,5,100.00%,0,0:00:14,0:02:37,0:00:59,80.00%,14,157,59,1.0,0.8
264,33,32,96.97%,1,0:00:26,0:02:04,0:01:45,66.67%,26,124,105,0.9697,0.6667000000000001
265,145,139,95.86%,6,0:00:20,0:02:28,0:03:41,79.02%,20,148,221,0.9586,0.7902
266,129,127,98.45%,2,0:00:19,0:02:13,0:01:49,75.59%,19,133,109,0.9845,0.7559
267,194,178,91.75%,16,0:00:26,0:02:36,0:05:20,67.19%,26,156,320,0.9175,0.6718999999999999
268,194,187,96.39%,7,0:00:24,0:02:25,0:03:44,77.25%,24,145,224,0.9639,0.7725
269,202,195,96.53%,7,0:00:21,0:02:21,0:02:59,74.75%,21,141,179,0.9653,0.7475
270,214,208,97.20%,6,0:00:13,0:02:19,0:00:57,88.15%,13,139,57,0.972,0.8815000000000001
271,28,28,100.00%,0,0:00:13,0:02:13,0:01:18,89.29%,13,133,78,1.0,0.8929
272,191,187,97.91%,4,0:00:15,0:02:23,0:01:40,82.54%,15,143,100,0.9791,0.8254
273,205,197,96.10%,8,0:00:21,0:02:27,0:02:23,74.38%,21,147,143,0.961,0.7437999999999999
274,198,196,98.99%,2,0:00:23,0:02:28,0:02:03,73.60%,23,148,123,0.9899,0.736
275,184,177,96.20%,7,0:00:20,0:02:41,0:01:50,78.57%,20,161,110,0.9620000000000001,0.7857
276,184,174,94.57%,10,0:00:25,0:02:27,0:02:47,70.00%,25,147,167,0.9457,0.7
277,168,160,95.24%,8,0:00:26,0:02:25,0:02:04,68.26%,26,145,124,0.9523999999999999,0.6826000000000001
278,39,37,94.87%,2,0:00:14,0:02:08,0:01:03,81.08%,14,128,63,0.9487000000000001,0.8108
279,225,210,93.33%,15,0:00:28,0:02:13,0:02:33,66.97%,28,133,153,0.9333,0.6697
280,182,174,95.60%,8,0:00:32,0:02:16,0:03:56,60.22%,32,136,236,0.956,0.6022
281,346,305,88.15%,41,0:00:45,0:01:57,0:05:07,45.03%,45,117,307,0.8815000000000001,0.45030000000000003
282,450,441,98.00%,9,0:00:19,0:01:53,0:02:31,78.30%,19,113,151,0.98,0.7829999999999999
283,259,248,95.75%,11,0:00:20,0:02:06,0:01:51,75.39%,20,126,111,0.9575,0.7539
284,231,214,92.64%,17,0:00:18,0:02:06,0:02:31,79.56%,18,126,151,0.9264,0.7956
285,48,47,97.92%,1,0:00:13,0:02:03,0:01:46,89.58%,13,123,106,0.9792000000000001,0.8957999999999999
286,246,236,95.93%,10,0:00:20,0:02:11,0:04:36,79.18%,20,131,276,0.9593,0.7918000000000001
287,202,195,96.53%,7,0:00:25,0:02:15,0:05:33,74.50%,25,135,333,0.9653,0.745
288,153,150,98.04%,3,0:00:15,0:02:15,0:02:12,82.24%,15,135,132,0.9804,0.8223999999999999
289,178,172,96.63%,6,0:00:19,0:02:15,0:04:35,78.29%,19,135,275,0.9662999999999999,0.7829
290,172,165,95.93%,7,0:00:19,0:02:24,0:03:24,79.29%,19,144,204,0.9593,0.7929
291,208,200,96.15%,8,0:00:26,0:02:23,0:03:15,68.78%,26,143,195,0.9615,0.6878
292,77,76,98.70%,1,0:00:29,0:02:16,0:01:54,58.44%,29,136,114,0.987,0.5844
293,291,250,85.91%,41,0:00:41,0:02:20,0:07:10,55.44%,41,140,430,0.8591,0.5544
294,219,212,96.80%,7,0:00:21,0:02:19,0:01:50,76.85%,21,139,110,0.968,0.7685
295,173,169,97.69%,4,0:00:18,0:02:13,0:02:14,81.40%,18,133,134,0.9769,0.8140000000000001
296,204,197,96.57%,7,0:00:17,0:02:23,0:01:57,80.00%,17,143,117,0.9656999999999999,0.8
297,216,185,85.65%,31,0:00:30,0:02:17,0:06:26,61.43%,30,137,386,0.8565,0.6143
298,461,441,95.66%,20,0:00:30,0:02:18,0:03:40,61.49%,30,138,220,0.9566,0.6149
299,56,55,98.21%,1,0:00:26,0:02:11,0:01:53,66.07%,26,131,113,0.9821,0.6607
300,192,176,91.67%,16,0:00:23,0:02:05,0:02:47,68.28%,23,125,167,0.9167000000000001,0.6828
301,382,365,95.55%,17,0:00:20,0:01:35,0:02:53,73.14%,20,95,173,0.9555,0.7314
302,246,223,90.65%,23,0:00:25,0:02:14,0:05:24,71.67%,25,134,324,0.9065000000000001,0.7167
303,48,46,95.83%,2,0:00:26,0:02:14,0:01:25,72.34%,26,134,85,0.9582999999999999,0.7234
304,221,205,92.76%,16,0:00:26,0:02:15,0:03:15,63.08%,26,135,195,0.9276000000000001,0.6308
305,275,261,94.91%,14,0:00:33,0:02:19,0:02:58,58.52%,33,139,178,0.9490999999999999,0.5852
306,39,36,92.31%,3,0:00:19,0:01:53,0:01:52,77.78%,19,113,112,0.9231,0.7778
307,250,236,94.40%,14,0:00:29,0:02:08,0:04:07,59.04%,29,128,247,0.9440000000000001,0.5904
308,197,184,93.40%,13,0:00:29,0:02:23,0:03:41,55.61%,29,143,221,0.934,0.5561
309,223,208,93.27%,15,0:00:28,0:02:21,0:06:51,72.27%,28,141,411,0.9327,0.7227
310,240,236,98.33%,4,0:00:18,0:02:14,0:02:08,77.92%,18,134,128,0.9833,0.7792
311,55,52,94.55%,3,0:00:16,0:02:19,0:01:42,78.18%,16,139,102,0.9455,0.7818
312,59,54,91.53%,5,0:00:08,0:02:06,0:02:01,84.75%,8,126,121,0.9153,0.8475
313,36,31,86.11%,5,0:00:11,0:02:22,0:01:56,72.22%,11,142,116,0.8611,0.7222
314,229,219,95.63%,10,0:00:13,0:02:07,0:02:35,84.89%,13,127,155,0.9562999999999999,0.8489
315,206,189,91.75%,17,0:00:15,0:02:19,0:03:48,82.83%,15,139,228,0.9175,0.8283
316,225,200,88.89%,25,0:00:21,0:02:21,0:04:42,73.11%,21,141,282,0.8889,0.7311
317,200,193,96.50%,7,0:00:17,0:02:23,0:03:40,79.29%,17,143,220,0.965,0.7929
318,189,179,94.71%,10,0:00:22,0:02:10,0:06:41,78.07%,22,130,401,0.9470999999999999,0.7807
319,169,159,94.08%,10,0:00:22,0:02:23,0:03:26,73.65%,22,143,206,0.9408,0.7365
320,41,40,97.56%,1,0:00:25,0:02:32,0:02:05,68.29%,25,152,125,0.9756,0.6829000000000001
321,218,187,85.78%,31,0:00:48,0:02:15,0:05:13,52.11%,48,135,313,0.8578,0.5211
322,194,185,95.36%,9,0:00:21,0:02:10,0:02:45,71.58%,21,130,165,0.9536,0.7158
323,176,172,97.73%,4,0:00:16,0:02:20,0:02:15,82.08%,16,140,135,0.9773000000000001,0.8208
324,181,179,98.90%,2,0:00:18,0:02:21,0:02:17,80.56%,18,141,137,0.9890000000000001,0.8056
325,159,151,94.97%,8,0:00:29,0:01:59,0:03:41,61.01%,29,119,221,0.9497,0.6101
326,144,135,93.75%,9,0:00:24,0:02:12,0:06:25,70.63%,24,132,385,0.9375,0.7062999999999999
327,30,29,96.67%,1,0:00:33,0:02:58,0:02:16,60.00%,33,178,136,0.9667,0.6
328,197,185,93.91%,12,0:00:24,0:02:18,0:02:20,68.23%,24,138,140,0.9390999999999999,0.6823
329,56,47,83.93%,9,0:00:24,0:02:22,0:02:48,58.93%,24,142,168,0.8393,0.5893
330,182,153,84.07%,29,0:00:38,0:02:17,0:10:41,53.89%,38,137,641,0.8406999999999999,0.5389
331,178,166,93.26%,12,0:00:30,0:02:24,0:05:12,62.07%,30,144,312,0.9326000000000001,0.6207
332,183,164,89.62%,19,0:00:25,0:02:04,0:03:40,65.91%,25,124,220,0.8962,0.6591
333,197,182,92.39%,15,0:00:28,0:02:25,0:04:20,64.80%,28,145,260,0.9239,0.648
334,60,58,96.67%,2,0:00:37,0:02:36,0:03:10,54.24%,37,156,190,0.9667,0.5424
335,241,224,92.95%,17,0:00:23,0:02:25,0:02:45,70.46%,23,145,165,0.9295,0.7045999999999999
336,307,295,96.09%,12,0:00:29,0:02:16,0:02:45,60.46%,29,136,165,0.9609000000000001,0.6046
337,295,289,97.97%,6,0:00:26,0:02:23,0:03:11,70.69%,26,143,191,0.9797,0.7069
338,239,230,96.23%,9,0:00:26,0:02:14,0:03:14,68.91%,26,134,194,0.9623,0.6890999999999999
339,241,231,95.85%,10,0:00:23,0:02:25,0:01:52,72.46%,23,145,112,0.9584999999999999,0.7245999999999999
340,211,195,92.42%,16,0:00:33,0:02:42,0:03:16,52.40%,33,162,196,0.9242,0.524
341,40,35,87.50%,5,0:00:40,0:02:35,0:03:12,47.50%,40,155,192,0.875,0.475
342,192,174,90.63%,18,0:00:32,0:02:16,0:03:40,55.79%,32,136,220,0.9063,0.5579
343,201,179,89.05%,22,0:00:35,0:02:18,0:03:40,57.29%,35,138,220,0.8905,0.5729
344,274,247,90.15%,27,0:00:28,0:02:10,0:04:04,63.94%,28,130,244,0.9015000000000001,0.6394
345,205,176,85.85%,29,0:00:41,0:02:16,0:05:11,46.23%,41,136,311,0.8584999999999999,0.4623
346,177,160,90.40%,17,0:00:28,0:02:20,0:03:59,59.20%,28,140,239,0.904,0.5920000000000001
347,159,151,94.97%,8,0:00:22,0:02:08,0:07:22,73.25%,22,128,442,0.9497,0.7325
348,33,28,84.85%,5,0:00:13,0:02:30,0:01:02,66.67%,13,150,62,0.8484999999999999,0.6667000000000001
349,228,210,92.11%,18,0:00:23,0:02:08,0:03:09,66.67%,23,128,189,0.9211,0.6667000000000001
350,177,172,97.18%,5,0:00:25,0:02:15,0:02:52,69.14%,25,135,172,0.9718000000000001,0.6914
351,197,169,85.79%,28,0:00:34,0:02:30,0:07:41,55.67%,34,150,461,0.8579000000000001,0.5567
352,721,616,85.44%,105,0:00:57,0:01:55,0:05:48,28.31%,57,115,348,0.8543999999999999,0.28309999999999996
353,301,270,89.70%,31,0:00:42,0:02:05,0:10:06,42.47%,42,125,606,0.897,0.42469999999999997
354,179,175,97.77%,4,0:00:24,0:02:21,0:03:12,71.35%,24,141,192,0.9777,0.7134999999999999
355,45,45,100.00%,0,0:00:16,0:02:11,0:03:21,86.67%,16,131,201,1.0,0.8667
356,180,164,91.11%,16,0:00:25,0:02:22,0:01:50,61.80%,25,142,110,0.9111,0.618
357,206,200,97.09%,6,0:00:22,0:02:19,0:02:07,74.63%,22,139,127,0.9709,0.7463
358,187,181,96.79%,6,0:00:32,0:02:30,0:03:54,62.70%,32,150,234,0.9679000000000001,0.627
359,186,177,95.16%,9,0:00:28,0:02:22,0:05:30,67.93%,28,142,330,0.9516,0.6793
360,189,180,95.24%,9,0:00:35,0:02:15,0:03:24,56.45%,35,135,204,0.9523999999999999,0.5645
361,127,116,91.34%,11,0:00:34,0:02:25,0:02:46,56.45%,34,145,166,0.9134,0.5645
362,93,90,96.77%,3,0:00:26,0:01:57,0:02:57,63.44%,26,117,177,0.9677,0.6344
363,328,292,89.02%,36,0:00:37,0:02:17,0:06:25,49.68%,37,137,385,0.8902,0.4968
364,238,223,93.70%,15,0:00:33,0:02:23,0:03:40,59.23%,33,143,220,0.937,0.5922999999999999
365,237,222,93.67%,15,0:00:34,0:02:24,0:02:52,53.85%,34,144,172,0.9367,0.5385
366,257,235,91.44%,22,0:00:45,0:02:31,0:04:24,44.66%,45,151,264,0.9144,0.44659999999999994
367,238,223,93.70%,15,0:00:32,0:02:17,0:03:22,54.70%,32,137,202,0.937,0.547
368,199,164,82.41%,35,0:00:32,0:02:13,0:06:56,59.18%,32,133,416,0.8240999999999999,0.5918
369,30,27,90.00%,3,0:00:32,0:02:34,0:02:37,60.71%,32,154,157,0.9,0.6071
370,176,163,92.61%,13,0:00:38,0:02:05,0:05:30,54.29%,38,125,330,0.9261,0.5428999999999999
371,162,144,88.89%,18,0:00:41,0:02:25,0:03:40,50.31%,41,145,220,0.8889,0.5031
372,169,157,92.90%,12,0:00:29,0:02:29,0:01:56,53.89%,29,149,116,0.929,0.5389
373,155,146,94.19%,9,0:00:30,0:02:18,0:03:10,50.98%,30,138,190,0.9419,0.5097999999999999
374,247,205,83.00%,42,0:00:49,0:02:26,0:07:36,38.49%,49,146,456,0.83,0.3849
375,191,186,97.38%,5,0:00:24,0:02:14,0:01:54,70.53%,24,134,114,0.9738,0.7053
376,30,29,96.67%,1,0:00:06,0:02:15,0:00:46,93.33%,6,135,46,0.9667,0.9333
377,316,290,91.77%,26,0:00:31,0:02:21,0:04:02,59.16%,31,141,242,0.9177,0.5916
378,211,195,92.42%,16,0:00:34,0:02:21,0:06:25,55.77%,34,141,385,0.9242,0.5577000000000001
379,208,169,81.25%,39,0:00:45,0:02:18,0:07:15,45.85%,45,138,435,0.8125,0.4585
380,130,124,95.38%,6,0:00:22,0:02:17,0:02:15,68.99%,22,137,135,0.9538,0.6899
381,134,129,96.27%,5,0:00:24,0:02:12,0:03:28,70.90%,24,132,208,0.9627,0.7090000000000001
382,124,121,97.58%,3,0:00:27,0:02:19,0:03:19,70.73%,27,139,199,0.9758,0.7073
383,47,43,91.49%,4,0:00:37,0:02:18,0:03:16,54.35%,37,138,196,0.9148999999999999,0.5435
384,197,186,94.42%,11,0:00:28,0:02:18,0:02:27,63.83%,28,138,147,0.9442,0.6383
385,158,146,92.41%,12,0:00:31,0:02:24,0:03:40,56.96%,31,144,220,0.9240999999999999,0.5696
386,163,151,92.64%,12,0:00:28,0:02:13,0:04:53,63.75%,28,133,293,0.9264,0.6375
387,178,160,89.89%,18,0:00:35,0:02:39,0:04:41,54.49%,35,159,281,0.8989,0.5449
388,151,128,84.77%,23,0:00:35,0:02:23,0:05:38,53.38%,35,143,338,0.8477,0.5338
389,118,106,89.83%,12,0:00:33,0:02:25,0:04:32,55.17%,33,145,272,0.8983,0.5517
390,31,28,90.32%,3,0:00:40,0:02:40,0:03:12,43.33%,40,160,192,0.9031999999999999,0.43329999999999996
391,139,134,96.40%,5,0:00:31,0:02:23,0:02:50,59.42%,31,143,170,0.9640000000000001,0.5942000000000001
392,171,154,90.06%,17,0:00:27,0:02:24,0:06:28,65.66%,27,144,388,0.9006000000000001,0.6566
393,160,156,97.50%,4,0:00:27,0:02:15,0:01:47,64.56%,27,135,107,0.975,0.6456000000000001
394,177,169,95.48%,8,0:00:29,0:02:31,0:03:40,64.37%,29,151,220,0.9548000000000001,0.6437
395,187,180,96.26%,7,0:00:26,0:02:22,0:05:56,65.59%,26,142,356,0.9626,0.6559
396,147,138,93.88%,9,0:00:26,0:02:24,0:05:19,61.38%,26,144,319,0.9388,0.6138
397,35,35,100.00%,0,0:00:08,0:02:10,0:00:47,88.57%,8,130,47,1.0,0.8856999999999999
398,208,194,93.27%,14,0:00:35,0:02:26,0:04:26,56.93%,35,146,266,0.9327,0.5693
399,162,155,95.68%,7,0:00:19,0:02:17,0:03:43,77.99%,19,137,223,0.9568000000000001,0.7798999999999999
400,152,143,94.08%,9,0:00:22,0:02:28,0:03:41,70.00%,22,148,221,0.9408,0.7
401,132,125,94.70%,7,0:00:26,0:02:07,0:03:52,68.94%,26,127,232,0.9470000000000001,0.6894
402,133,131,98.50%,2,0:00:12,0:02:19,0:01:19,87.12%,12,139,79,0.985,0.8712000000000001
403,129,121,93.80%,8,0:00:33,0:02:37,0:04:01,61.42%,33,157,241,0.938,0.6142
404,37,35,94.59%,2,0:00:19,0:02:21,0:01:32,75.68%,19,141,92,0.9459000000000001,0.7568
405,56,54,96.43%,2,0:00:13,0:02:33,0:02:13,87.27%,13,153,133,0.9643,0.8726999999999999
406,215,210,97.67%,5,0:00:12,0:01:34,0:01:42,87.74%,12,94,102,0.9767,0.8774
407,50,46,92.00%,4,0:00:14,0:02:42,0:01:13,72.00%,14,162,73,0.92,0.72
408,136,129,94.85%,7,0:00:22,0:02:26,0:02:30,66.42%,22,146,150,0.9484999999999999,0.6642
409,160,142,88.75%,18,0:00:35,0:02:34,0:03:10,55.92%,35,154,190,0.8875,0.5592
410,132,115,87.12%,17,0:00:36,0:02:27,0:04:35,48.84%,36,147,275,0.8712000000000001,0.48840000000000006
411,30,28,93.33%,2,0:00:47,0:02:36,0:02:22,40.00%,47,156,142,0.9333,0.4
412,150,140,93.33%,10,0:00:29,0:02:32,0:02:11,63.09%,29,152,131,0.9333,0.6309
413,160,144,90.00%,16,0:00:46,0:02:39,0:04:25,49.68%,46,159,265,0.9,0.4968
414,132,122,92.42%,10,0:00:37,0:02:38,0:03:51,50.00%,37,158,231,0.9242,0.5
415,161,151,93.79%,10,0:00:28,0:02:07,0:02:50,61.39%,28,127,170,0.9379000000000001,0.6139
416,156,149,95.51%,7,0:00:22,0:02:28,0:04:11,70.32%,22,148,251,0.9551000000000001,0.7031999999999999
417,137,128,93.43%,9,0:00:31,0:02:30,0:05:04,62.69%,31,150,304,0.9343,0.6269
418,28,25,89.29%,3,0:01:00,0:02:47,0:04:46,32.14%,60,167,286,0.8929,0.3214
419,141,133,94.33%,8,0:00:33,0:02:42,0:04:38,63.31%,33,162,278,0.9433,0.6331
420,130,123,94.62%,7,0:00:32,0:02:40,0:02:20,53.49%,32,160,140,0.9462,0.5349
421,161,155,96.27%,6,0:00:27,0:02:43,0:02:43,73.58%,27,163,163,0.9627,0.7358
422,139,132,94.96%,7,0:00:28,0:02:40,0:01:51,63.31%,28,160,111,0.9495999999999999,0.6331
423,167,130,77.84%,37,0:00:29,0:02:34,0:11:56,54.60%,29,154,716,0.7784,0.546
424,138,122,88.41%,16,0:00:35,0:02:49,0:05:30,57.78%,35,169,330,0.8841,0.5778
425,47,44,93.62%,3,0:00:26,0:03:11,0:03:29,63.04%,26,191,209,0.9362,0.6304
426,230,206,89.57%,24,0:00:38,0:02:34,0:04:35,46.72%,38,154,275,0.8956999999999999,0.4672
427,177,153,86.44%,24,0:00:30,0:02:53,0:04:28,55.49%,30,173,268,0.8644,0.5549000000000001
428,159,149,93.71%,10,0:00:33,0:02:40,0:04:32,61.04%,33,160,272,0.9370999999999999,0.6103999999999999
429,151,135,89.40%,16,0:00:36,0:02:32,0:04:41,52.74%,36,152,281,0.894,0.5274
430,138,126,91.30%,12,0:00:34,0:02:17,0:04:10,59.70%,34,137,250,0.9129999999999999,0.597
431,118,118,100.00%,0,0:00:26,0:02:33,0:01:38,66.10%,26,153,98,1.0,0.6609999999999999
432,22,21,95.45%,1,0:00:42,0:02:24,0:02:56,52.38%,42,144,176,0.9545,0.5238
433,177,156,88.14%,21,0:00:42,0:02:39,0:03:16,42.37%,42,159,196,0.8814,0.42369999999999997
434,156,147,94.23%,9,0:00:29,0:02:31,0:03:41,63.64%,29,151,221,0.9423,0.6364
435,123,121,98.37%,2,0:00:26,0:02:28,0:03:29,64.23%,26,148,209,0.9837,0.6423000000000001
436,130,125,96.15%,5,0:00:26,0:02:29,0:03:28,66.93%,26,149,208,0.9615,0.6693000000000001
437,141,134,95.04%,7,0:00:39,0:02:33,0:03:08,56.43%,39,153,188,0.9504,0.5643
438,121,113,93.39%,8,0:00:38,0:02:38,0:04:18,50.83%,38,158,258,0.9339,0.5083
439,35,31,88.57%,4,0:00:34,0:02:05,0:04:29,47.06%,34,125,269,0.8856999999999999,0.4706
440,240,226,94.17%,14,0:00:36,0:02:15,0:04:06,57.02%,36,135,246,0.9417,0.5702
441,130,118,90.77%,12,0:00:32,0:02:23,0:03:40,57.81%,32,143,220,0.9077,0.5781000000000001
442,140,130,92.86%,10,0:00:29,0:02:31,0:07:35,62.32%,29,151,455,0.9286,0.6232
443,131,111,84.73%,20,0:00:38,0:03:16,0:09:59,59.69%,38,196,599,0.8473,0.5969
444,74,74,100.00%,0,0:00:13,0:02:55,0:01:53,89.19%,13,175,113,1.0,0.8919
445,24,24,100.00%,0,0:00:12,0:02:47,0:00:57,83.33%,12,167,57,1.0,0.8332999999999999
446,11,10,90.91%,1,0:00:13,0:02:24,0:00:55,81.82%,13,144,55,0.9091,0.8181999999999999
447,28,26,92.86%,2,0:00:10,0:02:30,0:01:26,81.48%,10,150,86,0.9286,0.8148000000000001
448,43,43,100.00%,0,0:00:08,0:02:23,0:00:52,88.37%,8,143,52,1.0,0.8837
449,62,62,100.00%,0,0:00:17,0:02:12,0:01:26,82.26%,17,132,86,1.0,0.8226
450,70,69,98.57%,1,0:00:22,0:02:06,0:08:40,81.43%,22,126,520,0.9856999999999999,0.8143
451,107,97,90.65%,10,0:00:21,0:02:26,0:02:40,68.87%,21,146,160,0.9065000000000001,0.6887000000000001
452,91,85,93.41%,6,0:00:30,0:02:27,0:05:49,62.64%,30,147,349,0.9340999999999999,0.6264
453,25,25,100.00%,0,0:00:11,0:02:40,0:00:55,84.00%,11,160,55,1.0,0.84
454,85,79,92.94%,6,0:00:24,0:02:31,0:03:07,72.29%,24,151,187,0.9294,0.7229000000000001
455,91,83,91.21%,8,0:00:26,0:02:37,0:03:40,62.64%,26,157,220,0.9120999999999999,0.6264
456,48,46,95.83%,2,0:00:11,0:02:13,0:01:22,82.98%,11,133,82,0.9582999999999999,0.8298000000000001
457,14,11,78.57%,3,0:00:18,0:02:27,0:02:45,61.54%,18,147,165,0.7857,0.6154
458,43,42,97.67%,1,0:00:22,0:02:47,0:03:15,73.81%,22,167,195,0.9767,0.7381
459,74,69,93.24%,5,0:00:23,0:02:31,0:04:48,76.71%,23,151,288,0.9323999999999999,0.7670999999999999
460,33,33,100.00%,0,0:00:14,0:02:25,0:01:29,81.82%,14,145,89,1.0,0.8181999999999999
461,124,112,90.32%,12,0:00:26,0:02:36,0:05:30,64.75%,26,156,330,0.9031999999999999,0.6475
462,130,126,96.92%,4,0:00:25,0:02:30,0:02:58,65.89%,25,150,178,0.9692000000000001,0.6589
463,139,139,100.00%,0,0:00:18,0:02:40,0:03:03,77.54%,18,160,183,1.0,0.7754000000000001
464,138,130,94.20%,8,0:00:26,0:02:27,0:01:52,61.48%,26,147,112,0.9420000000000001,0.6148
465,125,119,95.20%,6,0:00:22,0:02:29,0:03:40,68.00%,22,149,220,0.9520000000000001,0.68
466,98,96,97.96%,2,0:00:20,0:02:36,0:02:53,77.32%,20,156,173,0.9795999999999999,0.7731999999999999
467,12,12,100.00%,0,0:00:18,0:03:07,0:01:36,83.33%,18,187,96,1.0,0.8332999999999999
468,119,117,98.32%,2,0:00:18,0:02:39,0:02:43,78.15%,18,159,163,0.9832,0.7815000000000001
469,100,96,96.00%,4,0:00:21,0:02:37,0:02:45,76.00%,21,157,165,0.96,0.76
470,146,133,91.10%,13,0:00:31,0:02:30,0:03:40,57.75%,31,150,220,0.9109999999999999,0.5775
471,131,127,96.95%,4,0:00:22,0:02:25,0:02:28,72.66%,22,145,148,0.9695,0.7265999999999999
472,107,104,97.20%,3,0:00:08,0:02:27,0:01:36,92.45%,8,147,96,0.972,0.9245
473,112,105,93.75%,7,0:00:24,0:02:38,0:04:28,67.27%,24,158,268,0.9375,0.6727
474,21,21,100.00%,0,0:00:32,0:02:31,0:01:25,52.38%,32,151,85,1.0,0.5238
475,125,104,83.20%,21,0:00:37,0:02:44,0:02:45,44.63%,37,164,165,0.8320000000000001,0.44630000000000003
476,35,34,97.14%,1,0:00:24,0:02:12,0:02:16,74.29%,24,132,136,0.9714,0.7429000000000001
477,121,109,90.08%,12,0:00:38,0:02:32,0:05:21,53.78%,38,152,321,0.9007999999999999,0.5378000000000001
478,135,122,90.37%,13,0:00:32,0:02:34,0:03:08,57.58%,32,154,188,0.9037000000000001,0.5758
479,117,114,97.44%,3,0:00:22,0:02:38,0:02:27,75.86%,22,158,147,0.9743999999999999,0.7585999999999999
480,114,97,85.09%,17,0:00:39,0:02:50,0:08:16,45.13%,39,170,496,0.8509,0.45130000000000003
481,50,49,98.00%,1,0:00:35,0:02:55,0:02:22,52.00%,35,175,142,0.98,0.52
482,207,198,95.65%,9,0:00:16,0:02:43,0:03:51,80.49%,16,163,231,0.9565,0.8049
483,189,183,96.83%,6,0:00:21,0:02:31,0:03:58,74.19%,21,151,238,0.9682999999999999,0.7419
484,162,156,96.30%,6,0:00:24,0:02:22,0:02:08,66.46%,24,142,128,0.963,0.6646
485,177,165,93.22%,12,0:00:26,0:02:31,0:03:50,66.47%,26,151,230,0.9322,0.6647
486,177,167,94.35%,10,0:00:23,0:02:35,0:02:45,68.97%,23,155,165,0.9434999999999999,0.6897
487,163,134,82.21%,29,0:00:38,0:02:42,0:07:16,47.20%,38,162,436,0.8220999999999999,0.47200000000000003
488,24,20,83.33%,4,0:00:26,0:03:23,0:02:16,65.22%,26,203,136,0.8332999999999999,0.6522
489,146,139,95.21%,7,0:00:18,0:02:34,0:06:21,75.86%,18,154,381,0.9521,0.7585999999999999
490,143,141,98.60%,2,0:00:22,0:02:45,0:02:45,72.03%,22,165,165,0.986,0.7203
491,132,122,92.42%,10,0:00:31,0:02:28,0:04:36,56.49%,31,148,276,0.9242,0.5649000000000001
492,137,130,94.89%,7,0:00:26,0:02:25,0:02:06,64.44%,26,145,126,0.9489,0.6444
493,112,104,92.86%,8,0:00:43,0:02:37,0:04:07,40.91%,43,157,247,0.9286,0.40909999999999996
494,110,91,82.73%,19,0:00:50,0:02:38,0:05:12,36.70%,50,158,312,0.8273,0.36700000000000005
495,24,22,91.67%,2,0:00:32,0:02:14,0:04:46,58.33%,32,134,286,0.9167000000000001,0.5832999999999999
496,168,154,91.67%,14,0:00:36,0:02:44,0:03:52,49.40%,36,164,232,0.9167000000000001,0.494
497,146,116,79.45%,30,0:00:42,0:02:28,0:15:00,54.93%,42,148,900,0.7945,0.5493
498,100,95,95.00%,5,0:00:31,0:02:38,0:02:53,57.00%,31,158,173,0.95,0.57
499,144,131,90.97%,13,0:00:26,0:02:27,0:02:37,63.57%,26,147,157,0.9097,0.6357
500,110,104,94.55%,6,0:00:24,0:02:26,0:02:22,64.22%,24,146,142,0.9455,0.6422
501,126,111,88.10%,15,0:00:31,0:02:38,0:04:36,52.80%,31,158,276,0.8809999999999999,0.528
502,24,24,100.00%,0,0:00:48,0:02:54,0:04:44,41.67%,48,174,284,1.0,0.4167
503,128,122,95.31%,6,0:00:35,0:02:59,0:02:42,51.56%,35,179,162,0.9531000000000001,0.5156000000000001
504,185,176,95.14%,9,0:00:27,0:02:23,0:05:05,67.93%,27,143,305,0.9514,0.6793
505,136,114,83.82%,22,0:00:57,0:02:25,0:05:31,28.79%,57,145,331,0.8382,0.2879
506,130,116,89.23%,14,0:00:44,0:02:41,0:06:00,44.44%,44,161,360,0.8923000000000001,0.44439999999999996
507,103,101,98.06%,2,0:00:18,0:02:42,0:02:23,77.45%,18,162,143,0.9806,0.7745000000000001
508,99,89,89.90%,10,0:00:20,0:02:27,0:01:30,73.68%,20,147,90,0.899,0.7368000000000001
